Period,PeriodYear,PeriodQuarter,ProductGroupCode,Equipment Type,Units sold,Date,Year,Month,Quarter,Prediction_RF,Prediction_XGB,Prediction_LGBM,Prediction_CatBoost,Prediction_DL,Prediction_Random Forest,Prediction_XGBoost,Prediction_LightGBM,Prediction_GradientBoosting,Prediction_AdaBoost,Prediction_Ridge,Prediction_Lasso,Prediction_ElasticNet,Prediction_Stacking,Prediction_NeuralNet
202305.0,2023.0,2.0,4,4,15.0,1970-01-01 00:00:00.000202305,1970,1,1,2.517060489206959,2.524002,2.529976557185778,15.014044248724264,2.453615798072964,15.0,14.999934,15.675223007347853,14.999577407638098,14.267605633802816,9.861742113199028,7.845720917015981,7.145508509199957,15.348506994847448,15.038948180792744
201908.0,2019.0,3.0,10,8,4.0,1970-01-01 00:00:00.000201908,1970,1,1,1.3248835628884328,1.3585743,1.4204706818177852,4.017068356356565,1.6239675602000156,4.0,3.9999888,3.9997215187875805,3.9999873674332056,4.3924050632911396,5.5150824378705146,4.85915883088966,4.6825216208750104,3.9999960580256944,3.921395030465005
202403.0,2024.0,1.0,4,4,2.0,1970-01-01 00:00:00.000202403,1970,1,1,2.2202243956250816,2.2531784,2.2340754504546583,1.9797648822856482,2.0523147811896414,2.0,2.000007,1.9995881335538634,2.00004220460014,2.372146118721461,2.767553264900505,3.107368977617797,3.237838632447499,2.000049180822103,1.9370366760799769
202107.0,2021.0,3.0,10,8,1.0,1970-01-01 00:00:00.000202107,1970,1,1,1.5371406137853134,1.6480248,1.615628360225125,0.9947061935705452,1.623612305948703,1.0,1.0000254,0.9999807478789523,1.00010772762214,0.9230769230769231,0.4911210050834689,1.4740238517140418,1.8908357866341496,1.000075742220512,0.9883743640810073
201902.0,2019.0,1.0,13,12,1.0,1970-01-01 00:00:00.000201902,1970,1,1,1.23178906013447,1.2640392,1.2769518454781148,0.9988738915838513,1.3490509324539666,1.0,1.0000254,0.9998506488896579,1.00010772762214,0.9230769230769231,0.2391459933084663,1.4740238517140418,1.8908357866341496,1.000075742220512,0.9836765806648561
202503.0,2025.0,1.0,1,1,5.0,1970-01-01 00:00:00.000202503,1970,1,1,1.5187195325899416,1.5209272,1.60643023919738,5.009723367404113,1.902460493556208,5.0,4.9999847,4.997837394036336,4.9999534789305455,4.504918032786885,6.317536451561923,5.411850245621065,5.138320518911259,4.9999694966254244,4.961416195076014
202403.0,2024.0,1.0,9,9,10.0,1970-01-01 00:00:00.000202403,1970,1,1,2.374559091393857,2.3926363,2.3060359442188814,9.840615765008366,1.982412932121012,10.0,9.999954,9.985419261245168,9.999820505951812,10.770642201834862,8.494444479446942,7.013685112401632,6.459337179662976,9.999688737133528,9.876563730149666
202111.0,2021.0,4.0,3,3,3.0,1970-01-01 00:00:00.000202111,1970,1,1,1.8483147445571235,1.6507255,1.6727729433906535,3.014503388157511,1.7061731716514894,3.0,2.9999917,2.9987004755032225,3.0000105247770064,2.4555555555555557,4.07403782903601,4.132550806342378,4.08329549203439,3.000022619423877,2.995305997492583
202106.0,2021.0,2.0,0,0,5.0,1970-01-01 00:00:00.000202106,1970,1,1,2.753807649803072,2.629961,2.6137391395545952,4.998548349064067,2.6822518030674583,5.0,4.9999847,5.0018590270644685,4.9999534789305455,4.504918032786885,6.171043465223434,5.411850245621065,5.138320518911259,4.9999694966254244,4.938834040733852
202110.0,2021.0,4.0,3,3,5.0,1970-01-01 00:00:00.000202110,1970,1,1,1.9471760311375248,1.8147569,1.87489286690332,4.995619579793752,1.7061303856377998,5.0,4.9999847,5.001338750844014,4.9999534789305455,4.504918032786885,5.96444125348658,5.411850245621065,5.138320518911259,4.9999694966254244,4.983965115822513
202112.0,2021.0,4.0,10,8,1.0,1970-01-01 00:00:00.000202112,1970,1,1,1.582476701640311,1.5704893,1.3107209896039085,1.001512925188579,1.4790532319449456,1.0,1.0000254,0.9999807478789523,1.00010772762214,0.9230769230769231,0.5782499384551789,1.4740238517140418,1.8908357866341496,1.000075742220512,1.0103785887177388
202212.0,2022.0,4.0,2,2,1.0,1970-01-01 00:00:00.000202212,1970,1,1,1.7744604299960345,1.5978751,1.5974339233514414,0.978984877560344,1.8480328477091528,1.0,1.0000254,1.000034677739372,1.00010772762214,0.9230769230769231,0.24983353974380318,1.4740238517140418,1.8908357866341496,1.000075742220512,1.0040551709736927
201904.0,2019.0,2.0,3,3,5.0,1970-01-01 00:00:00.000201904,1970,1,1,2.143715108256292,2.1085374,2.192432640859103,4.995214133453251,2.1451029007050737,5.0,4.9999847,5.004450524006509,4.9999534789305455,4.504918032786885,6.0673137608590295,5.411850245621065,5.138320518911259,4.9999694966254244,5.014202259090024
202207.0,2022.0,3.0,11,10,1.0,1970-01-01 00:00:00.000202207,1970,1,1,1.1219469075378476,1.1467662,1.2352463649699492,0.9957342772317439,1.2887614074582143,1.0,1.0000254,0.9999807478789523,1.00010772762214,0.9230769230769231,0.3035583809279183,1.4740238517140418,1.8908357866341496,1.000075742220512,0.9782830716762444
202108.0,2021.0,3.0,1,1,7.0,1970-01-01 00:00:00.000202108,1970,1,1,1.9369850372360269,1.9244974,1.8804415438727584,7.042105959490012,2.1577449084275315,7.0,6.999986,6.984407496708104,6.999914620043344,6.443478260869565,7.465484470898413,6.214812533166004,5.800515219376274,6.999916373826425,6.937241003116784
